string[32]	string[32]	text	END
Коллекционер Талик	Мейтер	Не проходите мимо! У вас есть лишние талики? Отдайте их мне и у вас будет шанс получить редкие предметы.	
Премиум Менеджер	Менеджер	Я Менеджер Премиум сервиса, который рекламирует улучшенное обслуживание. Если вы дадите мне кристалл Пексион, я дам вам коробочку с купоном на скидку.	
Коллекционер Талик	Лавендор	Я улучшаю снаряжение Священного Альянса, но мне не хватает талик. Если вы отдадите мне свои талики, я смогу достать для вас редкие предметы.	
Премиум Менеджер	Менеджер	Я Менеджер Премиум сервиса, который рекламирует улучшенное обслуживание. Если вы дадите мне кристалл Пексион, я дам вам коробочку с купоном на скидку.	
Монумент Победителей	Монумент Победителей	Монумент Победителей содержит имена самых достойных воинов, занявших 1-е, 2-е и 3-е места Турнира.	
Монумент Победителей	Монумент Победителей	Монумент Победителей содержит имена самых достойных воинов, занявших 1-е, 2-е и 3-е места Турнира.	
Монумент Победителей	Монумент Победителей	Монумент Победителей содержит имена самых достойных воинов, занявших 1-е, 2-е и 3-е места Турнира.	
Захваченный Хранитель	Захваченный Хранитель	Хааа....Хаааа... После того, как я переехал далеко от Холистона это значительно ослабило мою силу. Если у тебя есть Священная волна - дай ее мне. Тогда я востанавлю свою силу и щедро вознагражу тебя.	
Захваченный Хранитель	Захваченный Хранитель	Хааа....Хаааа... После того, как я переехал далеко от Холистона это значительно ослабило мою силу. Если у тебя есть Священная волна - дай ее мне. Тогда я востанавлю свою силу и щедро вознагражу тебя.	
Захваченный Хранитель	Захваченный Хранитель	Хааа....Хаааа... После того, как я переехал далеко от Холистона это значительно ослабило мою силу. Если у тебя есть Священная волна - дай ее мне. Тогда я востанавлю свою силу и щедро вознагражу тебя.	
Торговец PVP-наградами	НПС выдающий предметы за очки	Мы продаем предметы за ПВП очки.	
Торговец PVP-наградами	НПС выдающий предметы за очки	Мы продаем предметы за ПВП очки.	
Торговец PVP-наградами	НПС выдающий предметы за очки	Мы продаем предметы за ПВП очки.	
Помощник	Лайо	Может я и выгляжу не очень, но я Помощник, одного из Совета Семи, Крепе Стробери, который несет ответственность за Федерацию Беллато. Если вы хотите получить вид на жительство, то вам придется для этого постораться.	
Надзиратель	Хонки	Все нужно делать, не отступая от приказа. Кто нарушит это, может не просить меня о прощении.	
Надзиратель	ХорнБарт	Сейчас проникшие в Аванпост схвачены и заточены. Если у тебя нет ко мне дел, то не мешай мне.	
Секретарь Магната	Давид Кам	Я сопровождаю Магната J-я. Если-вы поможете его просьбе, то он вас хорошо отблагодарит. Ну что? Поможете ему?	
Совет Семи	Джан Криадов	Федерация Беллато следует только приказам Совета Семи, если бы их не было, то и Беллато бы не было. Нуждно всегда помнить об этом! Если кто-то будет против этого, то Беллато его не простят.	
Представитель Расы	Гамауд	Тс! Это место, где Совет Трех Рас решает проблему заражения Вулкана вирусом. Подслушай о чем они говорят.	
Представитель Расы	Нандераль	Это место, где Совет Трех Рас решает проблему заражения Вулкана вирусом. Так как собрание еще не закончилось, придите ко мне потом.	
Охранник Портала	Байто	Здесь чрезвычайно опасно. Конечно же это из-за существования порталов Кор и Акретии. Так как тут проводятся войны, лучше будет, если вы запомните это место.	
Клиент	Траст	Сейчас я занят. Я провожу анализы руин Культистов. Ты проверял то, что находится внутри? Не кажется, что где то уже видел похожее?	
Софист	Мун	Запомни Войну Цветов мой молодой друг. История Кор, на много обширней, чем тебе кажется. Моя задача находить вещи, которые сейчас находятся во тьме.	
Надзиратель	Краун	Если вы воин Дайсема, то вам необходимо уничтожать неверных и присоединиться к Святой Войне. Разделите благословение наказать неверных, которые взяты в плен.	
Заместитель Надзирателя	Макс Краун	Дайсем великодушен и примет этого Культиста Шипоголова, в ряды своих подчиненных. Я с радостью отправлю его Дайсему.	
Клиент	Одинори	Я провожу очень важный опыт. Я не выхожу за рамки разрешенные Дайсемом, так что не надо никуда идти и говорить всем, что я провожу странные опыты. Но то что вы видели здесь, это секрет!	
Представитель Архиепископа	Ступид	Секретарь Командующего, который несет бремя Дайсема приехал сюда по просьбе Архиепископа. На Новусе случайно ничего не происходило? Что-то он выглядит бледно.	
Охранник Портала	Гриантину	Это место, где три расы борются, чтобы получить возможность добывать руду. Из-за того, что тут проходят самые кровавые войны будь осторожен.	
Ветеран	X	Дай шанс проигравшему солдату! Верни мне мое тело, для того, что бы мне вернулась слава! Я хочу биться!	
Заслуженная Персона	AS01-R1-3814	Я поймал тех, кто пробрался в Порт Империи и получил награду от Империи. Теперь все длжны брать с меня пример и усерднее служить Империи.	
Представитель Трибуна	aP0P-CR-1944	Империю продвигает не только Командующий. Но и Совет созданный переселенцами. Меня отправил сюда Трибун Совета, дав задание, проверить Новус.	
Охранник Портала	AS05-R1-D971	Это место, где три расы борются, чтобы получить возможность добывать руду. Здесь ты сможешь проявить себя, как самого сильного воина Империи.	
Торговец Картелы	Чапти	Это земля Картелы! Ты должен заплатить за вход! А! Сюда нельзя входить каждому встречному!	
Устройство Анализа	Устройство Анализа	Многие части устройства сломаны. Пленка, записавшая результаты анализа находится внутри устройства. Так же на ней имеются данные о сравнении с алтарем.	
Устройство Вызова Существ из Дру	Устройство Вызова Существ из Дру	Имеет свойство вызова существ из других измерений. Этим раньше пользовались Дрение Коры. Эти устройства уже не производят, их осталось всего несколько.	
Реликвия Катакомб	Руины Катакомб	Это руины Шипоголовов в Катакомбах. Там есть реликвии Культистов.	
Реликвия Грабителя	Руины Крепости Змееголовов	Это руины Шипоголовов в Крепости Шипоголовов. Там есть реликвии Культистов.	
Реликвия Грабителя Гробниц	Руины Храм Шипоголовов	Это руины Шипоголовов в Храме Шипоголовов. Там есть реликвии Культистов. Для того, чтобы забрать реликвию вам нужно найти что-то, похожее на ключи.	
Духовная Коробка	Злая Душа Назала	Кто-то хочет услышать голос дракона?! Ну что? Начнем проверку Дракона? Принеси мне ту эмблему!	
Помощник	AS01-R1-1131	За Империю Акретия! За Императора!	
Пойманный Солдат Другой Расы	Юн	 (Несоответствие языков, абстрактные буквы)	
Пойманный Солдат Другой Расы	As02-R1-547022	 (Несоответствие языков, абстрактные буквы)	
Посыльный Кор	Хунт	Я не могу покинуть это место. Я стал очевидцем очень важного дела. До того, как я передам эту информацию Командующему, я не могу уехать отсюда.	
Посыльный Беллато	Рандиес	Вы откуда? Я только что стал свидетелем заговора Ренегатов. Пока я разбираю информацию, не шумите пожалуйста.	
Культист Торговец	Кродиам	Тс! Кажется кто то подслушивает. Давайте будет осторожней. Как все стихнет, продолжим.	
Пойманный Солдат Другой Расы	Джун	 (Несоответствие языков)	
Пойманный Солдат Другой Расы	As03-R1-141733	 (Несоответствие языков)	
Пойманный Змееголов	СечуКрим	Отпустите меня! У меня нет причин принимать вашу религию! Здесь Новус и это земля Культистов!	
Пойманный Шипоголов	Пороэн	Ты тоже, пришедший украсть нашу реликвию Шипоголовов?! Я никогда не расскажу таким ворам, как ты, где находится наша реликвия.	
Посыльный Акретии	AS08-R1-Q109	Я только что стал очевидцем, как Ренегаты строили заговор с другой расой. Я не могу идти дальше хотя бы из-за того, что хочу найти доказательства этого.	
Представитель Совета Трех Рас	AS03-R1-08A4	Я приехал сюда из-за Совета Трех Рас о проблеме в Вулкане. Но боюсь, что у нас не получится никакого разговора с этими невежами других рас.	
Змееголов Торговец	Бафриум	Тс! Кажется кто то подслушивает. Давайте будет осторожней. Как все стихнет, продолжим.	
Пойманный Солдат Другой Расы	Сильверун	 (Несоответствие языков)	
Шипоголов Торговец	Снерихон	Тс! Кажется кто то подслушивает. Давайте будет осторожней. Как все стихнет, продолжим.	
Торговец Карабана	Ромуль	Хм, ты пришел в Лабораторию Картелы из-за любопытства? Хм-хм! Я обнаружил это место! Я просто обязан отыскать здесь секреты Картелы.	
Устройство Открывающее Лаборатор	Устройство Открывающее Лаборатор	Если вы желаете закрыть Лабораторию, то нажмите на кнопку у входа в Лабораторию.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то положите Ключ Мастера в область считывания и нажмите на кнопку запуска.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то нажмите на кнопку запуска.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то нажмите на кнопку запуска.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то нажмите на кнопку запуска.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то нажмите на кнопку запуска.	
Устройство Включающее Голограмму	Устройство Включающее Голограмму	Запускается голограмма. Если хотите продолжить, то нажмите на кнопку запуска.	
Водный Мотоцикл	Водный Мотоцикл	Похоже на след исследователя Беллато, у которого был секретный документ Оракул. Вид, как у летательного аппарата Беллато.	
Дистанционная Карта и Компас	Дистанционная Карта и Компас	Похоже на след исследователя Беллато, у которого был секретный документ Оракул. Похоже на карту.	
Первая Часть Дневника	Первая Часть Дневника	Похоже на след исследователя Беллато, у которого был секретный документ Оракул. Похоже на часть дневника.	
Заблокированный Передатчик	Заблокированный Передатчик	Похоже на след исследователя Беллато, у которого был секретный документ Оракул. Похоже на сумку.	
Первая Куча Земли	Первая Куча Земли	Земля разбросана кое-как. Здесь что-то недавно закапывали.	
Вторая Куча Земли	Вторая Куча Земли	Земля разбросана кое-как. Здесь что-то недавно закапывали.	
Третья Куча Земли	Третья Куча Земли	Земля разбросана кое-как. Здесь что-то недавно закапывали.	
Четвертая Куча Земли	Четвертая Куча Земли	Земля разбросана кое-как. Здесь что-то недавно закапывали.	
Пятая Куча Земли	Пятая Куча Земли	Земля разбросана кое-как. Здесь что-то недавно закапывали.	
Часть Разрушенного Хвоста	Часть Разрушенного Хвоста	Что-то, потерпевшее крушение в Сеттовой Пустыне и до сих пор находящееся там. Трудно сказать, что это.	
Часть Разрушенного Крыла	Часть Разрушенного Крыла	Что-то, потерпевшее крушение в Сеттовой Пустыне и до сих пор находящееся там. Трудно сказать, что это.	
Разрушенный Двигатель	Разрушенный Двигатель	Что-то, потерпевшее крушение в Сеттовой Пустыне и до сих пор находящееся там. Трудно сказать, что это.	
Часть Разрушенного Носа	Часть Разрушенного Носа	Что-то, потерпевшее крушение в Сеттовой Пустыне и до сих пор находящееся там. Трудно сказать, что это.	
Разрушенный Штурвал	Разрушенный Штурвал	Что-то, потерпевшее крушение в Сеттовой Пустыне и до сих пор находящееся там. Трудно сказать, что это.	
Упакованные Вещи	Вещи	Упакованные вещи с эмблемой Картелы.	
Упакованные Вещи	Вещи	Упакованные вещи с эмблемой Картелы.	
Упакованные Вещи	Вещи	Упакованные вещи с эмблемой Картелы.	
Дышащий Камень	Дышащий Камень	Очень похоже на руду, но это раздувается так, как будто дышит и пытается присесть.	
Пост Войск Империи	FG-02-3341	Передовое Войско, для воодушевления воинов Империи.	
Пост Войск Империи	FG-02-1918	Передовое Войско, для воодушевления воинов Империи.	
Пост Войск Империи	FG-02-3811	Передовое Войско, для воодушевления воинов Империи.	
Пост Войск Империи	FG-02-4221	Передовое Войско, для воодушевления воинов Империи.	
Пост Войск Федерации 	23-ий Маркер	Поселения Войск, для восстановления сил и духа воинов Федерации.	
Пост Войск Федерации 	27-ой Маркер	Поселения Войск, для восстановления сил и духа воинов Федерации.	
Пост Войск Федерации 	23-ий Маркер	Поселения Войск, для восстановления сил и духа воинов Федерации.	
Пост Войск Федерации 	27-ой Маркер	Поселения Войск, для восстановления сил и духа воинов Федерации.	
Пост Войск Альянса	Редо	Я послал их, чтобы исцелить вашу душу, и оценить все моменты, ради будущей славы.	
Пост Войск Альянса	Риново	Я послал их, чтобы исцелить вашу душу, и оценить все моменты, ради будущей славы.	
Пост Войск Альянса	Русус	Я послал их, чтобы исцелить вашу душу, и оценить все моменты, ради будущей славы.	
Пост Войск Альянса	Ретро	Я послал их, чтобы исцелить вашу душу, и оценить все моменты, ради будущей славы.	
Продавец Квестов	Q-83A5	Привет! Разве тебе не интерсно что я продаю? Я покажу что у меня можно купить.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Маленькая Золотая Хрюшка	_	Здравствуйте! Посмотрите на разнообразие золотых предметов. Если вы наберете определененное количество золотых очков, то сможете приобрести на них эти предметы.	
Кладовщик Гильдии	Каска Дун	Привет. У меня есть много предметов, которые пригодятся тебе в твоем путишествии.Не стесняйся обращаться в любое время.	
Кладовщик Гильдии	Каспер Сильвервинд	Привет. У меня есть много предметов, которые пригодятся тебе в твоем путишествии.Не стесняйся обращаться в любое время.	
Кладовщик Гильдии	АВ63-33-7148	Я отвечаю за продажу материала гильдии для Силы Империи. Есть много предметов, которое было трудно купить в прошлом. Нейчас они стали доступными.	
Кладовщик Гильдии	РА71-02-1316	Я отвечаю за продажу материала гильдии для Силы Империи. Есть много предметов, которое было трудно купить в прошлом. Нейчас они стали доступными.	
Кладовщик Гильдии	Креа Винмат	Если ты в чем то нуждаешся - приходи ко мне в любое время. У меня есть много полезных вещей.	
Кладовщик Гильдии	Валькир Ратсо	Если ты в чем то нуждаешся - приходи ко мне в любое время. У меня есть много полезных вещей.	
