string[64]	dword	string[64]	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
00424	2	4F06D	1	-1	0	-1	-1	-1	5	1	15	100	
00425	2	4F06F	1	-1	0	-1	-1	-1	5	1	15	100	
00426	2	4F070	1	-1	0	-1	-1	-1	5	1	15	100	
00427	2	4F072	1	-1	0	-1	-1	-1	5	0	15	100	
00428	2	4F073	1	-1	0	-1	-1	-1	5	0	15	100	
00429	2	4F074	1	-1	0	-1	-1	-1	5	1	15	100	
00430	2	4F075	1	-1	0	-1	-1	-1	5	1	15	100	
00431	2	4F076	1	-1	0	-1	-1	-1	5	1	15	100	
00432	2	4F078	1	-1	0	-1	-1	-1	5	1	15	100	
00433	2	4F07A	1	-1	0	-1	-1	-1	5	1	15	100	
00434	2	7F096	1	-1	0	-1	-1	-1	5	1	15	100	
00435	2	7F099	1	-1	0	-1	-1	-1	5	1	15	100	
00436	2	71099	1	-1	0	-1	1	50	5	0	15	100	
00437	2	7F09D	1	-1	3	30	-1	-1	5	1	15	100	
00438	2	7F09F	1	-1	0	-1	-1	-1	5	1	15	100	
00439	2	7F0A0	1	-1	0	-1	-1	-1	5	1	15	100	
00440	2	7F0A1	1	-1	0	-1	-1	-1	5	1	15	100	
00441	2	700A2	1	-1	0	-1	-1	-1	5	1	15	100	
00442	2	7100C	1	-1	0	-1	-1	-1	5	0	15	100	
00443	2	8F0C0	1	-1	3	30	-1	-1	5	0	15	100	
00444	2	810C1	1	-1	0	-1	-1	-1	5	0	15	100	
00445	2	8F0C6	1	-1	0	-1	-1	-1	5	0	15	100	
00446	2	8F0C7	1	-1	0	-1	-1	-1	5	1	15	100	
00447	2	8F0C9	1	-1	0	-1	-1	-1	5	1	15	100	
00448	2	8F0CA	1	-1	0	-1	-1	-1	5	0	15	100	
00449	2	8F0CB	1	-1	0	-1	-1	-1	5	1	15	100	
00450	2	800CC	1	-1	0	-1	-1	-1	5	0	15	100	
00451	2	4F0EA	1	-1	0	-1	-1	-1	5	0	15	100	
00452	2	410EB	1	-1	0	-1	-1	-1	5	0	15	100	
00453	2	410EC	1	-1	0	-1	-1	-1	5	0	15	100	
00454	2	4F0ED	1	-1	0	-1	-1	-1	5	1	15	100	
00455	2	410ED	1	-1	0	-1	-1	-1	5	0	15	100	
00456	2	410EF	1	-1	0	-1	-1	-1	5	0	15	100	
00457	2	4F0F3	1	-1	0	-1	-1	-1	5	1	15	100	
00458	2	4F0FA	1	-1	0	-1	-1	-1	5	1	15	100	
00459	2	7F114	1	-1	0	-1	-1	-1	5	1	15	100	
00460	2	7F118	1	-1	2	50	-1	-1	5	1	15	100	
00461	2	7F11A	1	-1	0	-1	-1	-1	5	1	15	100	
00462	2	7011B	1	-1	0	-1	-1	-1	5	0	15	100	
00463	2	7111C	1	-1	0	-1	-1	-1	5	0	15	100	
00464	2	7F11D	1	-1	0	-1	-1	-1	5	1	15	100	
00465	2	7F11F	1	-1	0	-1	-1	-1	5	1	15	100	
00466	2	7F120	1	-1	0	-1	-1	-1	5	2	15	100	
00467	2	7F121	1	-1	0	-1	-1	-1	5	0	15	100	
00468	2	7F122	1	-1	0	-1	-1	-1	5	1	15	100	
00469	2	8F13E	1	-1	0	-1	-1	-1	5	1	15	100	
00470	2	8F144	1	-1	0	-1	-1	-1	5	1	15	100	
00471	2	8F145	1	-1	0	-1	-1	-1	5	1	15	100	
00472	2	81146	1	-1	0	-1	-1	-1	5	0	15	100	
00473	2	8F147	1	-1	0	-1	-1	-1	5	1	15	100	
00474	2	8F149	1	-1	0	-1	-1	-1	5	1	15	100	
00475	2	8F14D	1	-1	0	-1	-1	-1	5	1	15	100	
00476	2	4F1EF	1	-1	0	-1	-1	-1	5	1	15	100	
00477	2	4F1F0	1	-1	0	-1	-1	-1	5	1	15	100	
00478	2	4F1F1	1	-1	0	-1	-1	-1	5	0	15	100	
