xeh	string[32]	byte	byte	byte	byte	dword	dword	dword	float	ubyte	ubyte	ubyte	byte	float	dword	dword	xeh	dword	dword	dword	dword	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	dword	dword	END
0750B	Снайпер	0	1	54	0	14125	2034	1	150	5	6	40	0	1	0	0	0C8	13	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
0760B	Чемпион	1	1	54	0	14125	2034	0	25	5	6	44	0	1,100000024	0	0	0C9	6	258	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
0770B	Охотник	1	1	55	0	14305	2034	1	31,25	2	6	40	0	1	0	0	0CA	7	272	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
0780B	Стрелок	2	1	55	0	14305	2034	1	31,25	2	6	40	0	1	0	0	0CB	11	2050	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
0790B	Вызыватель	1	1	55	0	14305	2034	1	150	4	6	40	0	1	0	0	0CC	11	4112	1	-1	00051	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07A0B	Разрушитель	2	1	55	0	14305	2034	0	25	4	6	40	0	1	0	0	0CD	3	257	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07B0B	Миллер	0	1	56	0	14630	2034	0	25	4	6	40	0	1	0	0	0CE	1	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07C0B	Чародей	0	1	56	0	14630	2034	0	25	4	6	40	0	1	0	0	0CF	5	4112	1	-1	00051	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07D0B	Рыцарь	1	1	56	0	14630	2034	0	25	4	6	40	0	1	0	0	0D0	2	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07E0B	Гладиатор	2	1	56	0	14630	2034	0	25	4	6	44	0	1,100000024	0	0	0D1	2	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	
07F0B	Лучник Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0D2	7	4112	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0800B	Разведчик Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0D3	15	4112	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0810B	Диверсант Предатель	-1	1	43	0	11340	2034	0	25	4	6	40	0	1	0	0	0D4	7	257	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0820B	Колдун Предатель	-1	1	43	0	11340	2034	0	25	4	6	40	0	1	0	0	0D5	21	257	0	2	00052	00053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0830B	Псионик Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0D6	7	257	0	2	00051	00053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0840B	Коммандо Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0D7	3	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
0850B	Снайпер Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0D8	17	2056	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0860B	Чемпион Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0D9	1	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
0870B	Охотник Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0DA	13	257	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0880B	Стрелок Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0DB	11	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
0890B	Вызыватель Предатель	-1	1	43	0	11340	2034	1	150	4	6	40	0	1	0	0	0DC	7	4112	0	2	00051	00338	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
08A0B	Разрушитель Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0DD	1	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
08B0B	Миллер Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0DE	1	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
08C0B	Чародей Предатель	-1	1	43	0	11340	2034	0	25	4	6	40	0	1	0	0	0DF	5	2056	0	2	00054	00055	00056	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	86	
08D0B	Рыцарь Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0E0	7	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
08E0B	Гладиатор Предатель	-1	1	45	0	11815	2034	0	25	4	6	40	0	1	0	0	0E1	2	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	90	
09407	Баал	-1	2	53	0	828300	2034	0	25	2	6	80	0	2	0	1	0F7	2	520	0	0	00057	00042	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	742	
06E0C	Раб Бельфегора	-1	0	55	0	4292	2034	0	25	4	6	56	0	1,399999976	0	0	0F1	2	520	0	0	00058	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	0	
06D07	Бельфегор	-1	2	60	0	938400	2034	0	25	3	5	80	0	2	0	1	0F0	4	514	0	0	00057	00042	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	840	
06203	Сервитор	-1	0	50	0	13105	2034	0	25	4	6	40	0	1	0	0	0E5	21	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	50	
06303	Священный Червь	-1	0	46	0	12035	2034	0	25	4	6	40	0	1	0	0	0E6	21	257	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	46	
06403	Некрометалоид	-1	0	48	0	12540	2034	0	25	4	6	60	0	1,5	0	0	0E7	3	514	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	48	
06503	Полиморф	-1	0	47	0	12255	2034	0	25	4	6	40	0	1	0	0	0E8	21	257	1	2	00059	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	47	
0661B	Шквальный Двулик	-1	1	49	0	64250	2034	1	150	4	6	80	0	2	0	0	0E9	11	520	1	0	00060	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	98	
06703	Надгробие	-1	0	52	0	1	2034	0	25	0	0	40	0	1	0	0	0EA	3	520	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	52	
0680B	Звенящий Клинок	-1	1	48	0	62700	2034	0	25	4	6	80	0	2	0	0	0EB	3	514	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	96	
06903	Каменный Рыцарь	-1	0	48	0	12540	2034	0	25	4	6	40	0	1	0	0	0EC	6	514	1	3	00061	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	48	
06A03	Каменный Воин	-1	0	48	0	12540	2034	0	25	4	6	40	0	1	0	0	0ED	6	514	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	48	
06B03	Орк Воин	-1	0	47	0	12255	2034	0	25	4	6	60	0	1,5	0	0	0EE	21	257	1	3	00062	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	47	
06C03	Гоблин	-1	0	47	0	12255	2034	0	25	4	6	40	0	1	0	0	0EF	4	258	1	3	00006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	47	
06D03	Посланник Бельфегора	-1	0	50	0	2621	2034	0	25	3	5	80	0	2	0	0	0F0	4	514	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	50	
06E03	Спутник Бельфегора	-1	0	50	0	3932	2034	0	25	4	6	40	0	1	0	0	0F1	2	520	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	50	
08F03	Огненная Башня	-1	0	50	0	2621	2034	0	25	0	0	0	0	1	0	0	0F2	-1	514	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	50	
09003	Башня	-1	0	50	0	2621	2034	0	25	0	0	0	0	0,5	0	0	0F3	-1	514	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	50	
09103	Лазурная Пирамида	-1	0	50	0	2621	2034	0	25	0	0	44	0	1	0	0	0F4	-1	514	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	50	
0920B	Имперский Разрушитель Альфа	-1	1	50	0	13105	2034	0	25	3	6	40	0	1	0	0	0F5	21	514	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	100	
0930B	Имперский Разрушитель Бета	-1	1	50	0	13105	2034	0	25	3	6	40	0	1	0	0	0F6	21	514	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	100	
09403	Страж Баала	-1	0	50	0	2621	2034	0	25	3	5	80	0	2	0	0	0F7	2	520	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	50	
09507	Ваал	-1	2	50	0	262100	2034	0	25	3	5	80	0	2	0	1	0F8	3	520	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	700	
0960C	Страж Ваала	-1	0	50	0	3932	2034	0	25	4	6	56	0	1,399999976	0	0	0F9	2	520	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	0	
01508	Большой Молотоглав	-1	1	21	0	5800	2034	0	25	2	6	68	0	1,700000048	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	42	
01509	Большой Молотоглав	-1	1	21	0	5800	2034	0	25	2	6	68	0	1,700000048	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	42	
0150A	Большой Молотоглав	-1	1	21	0	5800	2034	0	25	2	6	68	0	1,700000048	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	42	
01908	Яростный Трицератопс	-1	1	23	0	6300	2034	0	25	2	5	60	0	1,5	0	0	03C	14	2049	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	46	
01909	Яростный Трицератопс	-1	1	23	0	6300	2034	0	25	2	5	60	0	1,5	0	0	03C	14	2049	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	46	
0190A	Яростный Трицератопс	-1	1	23	0	6300	2034	0	25	2	5	60	0	1,5	0	0	03C	14	2049	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	46	
01B08	Гигантский Раптор	-1	1	23	0	6300	2034	0	25	3	6	108	0	0,600000024	0	0	08F	21	256	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	46	
01B09	Гигантский Раптор	-1	1	23	0	6300	2034	0	25	3	6	108	0	0,600000024	0	0	08F	21	256	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	46	
01B0A	Гигантский Раптор	-1	1	25	0	6755	2034	0	25	3	6	43,20000076	0	0,239999995	0	0	08F	21	256	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	50	
01A08	Аргулин	-1	1	25	0	6755	2034	0	25	3	6	60	0	1,5	0	0	048	21	8	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	50	
01A09	Аргулин	-1	1	23	0	6300	2034	0	25	3	6	60	0	1,5	0	0	048	21	8	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	46	
01A0A	Аргулин	-1	1	25	0	6755	2034	0	25	3	6	60	0	1,5	0	0	048	21	8	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	50	
02708	Призрак	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	08C	9	2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	54	
02709	Призрак	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	08C	9	2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	54	
0270A	Призрак	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	08C	9	2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	54	
02508	Бронированный Мехозавр	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	096	14	512	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
02509	Бронированный Мехозавр	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	096	14	512	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
0250A	Бронированный Мехозавр	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	096	14	512	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
02608	Дроид Воин	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
02609	Дроид Воин	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
0260A	Дроид Воин	-1	1	27	0	7280	2034	1	150	4	6	60	0	1,5	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	54	
02808	Скарабей Секач	-1	1	29	0	7750	2034	0	25	3	4	52	0	1,299999952	0	0	051	21	8	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	58	
02809	Скарабей Секач	-1	1	29	0	7750	2034	0	25	3	4	52	0	1,299999952	0	0	051	21	8	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	58	
0280A	Скарабей Секач	-1	1	29	0	7750	2034	0	25	3	4	52	0	1,299999952	0	0	051	21	8	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	58	
03B08	Доспех-Призрак	-1	1	35	0	9330	2034	1	180	3	6	60	0	1,5	0	0	094	9	514	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	70	
03B09	Доспех-Призрак	-1	1	35	0	9330	2034	1	180	3	6	60	0	1,5	0	0	094	9	514	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	70	
03B0A	Доспех-Призрак	-1	1	35	0	9330	2034	1	180	3	6	60	0	1,5	0	0	094	9	514	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	70	
03A08	Армированный Дроид	-1	1	36	0	9535	2034	1	150	4	6	60	0	1,5	0	0	095	15	514	1	-1	00004	00005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	72	
03A09	Армированный Дроид	-1	1	36	0	9535	2034	1	150	4	6	60	0	1,5	0	0	095	15	514	1	-1	00004	00005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	72	
03A0A	Армированный Дроид	-1	1	36	0	9535	2034	1	150	4	6	60	0	1,5	0	0	095	15	514	1	-1	00004	00005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	72	
03908	Наяда Принцесса	-1	1	37	0	9755	2034	0	25	4	5	60	0	1,5	0	0	08D	21	4352	1	1	00063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	74	
03909	Наяда Принцесса	-1	1	37	0	9755	2034	0	25	4	5	60	0	1,5	0	0	08D	21	4352	1	1	00063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	74	
0390A	Наяда Принцесса	-1	1	37	0	9755	2034	0	25	4	5	60	0	1,5	0	0	08D	21	4352	1	1	00063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	74	
03E08	Черный Песчанный Червь	-1	1	38	0	10055	2034	0	25	3	5	48	0	1,200000048	0	0	097	21	8	1	2	00008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	76	
03E09	Черный Песчанный Червь	-1	1	38	0	10055	2034	0	25	3	5	48	0	1,200000048	0	0	097	21	8	1	2	00008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	76	
03E0A	Черный Песчанный Червь	-1	1	38	0	10055	2034	0	25	3	5	48	0	1,200000048	0	0	097	21	8	1	2	00008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	76	
04008	Болотный Гиперморф	-1	1	39	0	10295	2034	0	25	3	4	52	0	1,299999952	0	0	070	21	2064	1	2	00014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	78	
04009	Болотный Гиперморф	-1	1	39	0	10295	2034	0	25	3	4	52	0	1,299999952	0	0	070	21	2064	1	2	00014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	78	
0400A	Болотный Гиперморф	-1	1	39	0	10295	2034	0	25	3	4	52	0	1,299999952	0	0	070	21	2064	1	2	00014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	78	
04208	Мясной Слизень	-1	1	40	0	10600	2034	0	25	2	3	60	0	1,5	0	0	098	21	8	1	2	00064	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	80	
04209	Мясной Слизень	-1	1	40	0	10600	2034	0	25	2	3	60	0	1,5	0	0	098	21	8	1	2	00064	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	80	
0420A	Мясной Слизень	-1	1	40	0	10600	2034	0	25	2	3	60	0	1,5	0	0	098	21	8	1	2	00064	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	80	
04108	Богомол Доминант	-1	1	41	0	10800	2034	0	75	2	4	80	0	2	0	0	075	21	8	0	2	00016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	82	
04109	Богомол Доминант	-1	1	41	0	10800	2034	0	75	2	4	80	0	2	0	0	075	21	8	0	2	00016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	82	
0410A	Богомол Доминант	-1	1	41	0	10800	2034	0	80	4	6	80	0	2	0	0	075	21	8	0	2	00016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	82	
02A0C	Гиперморф Страж	-1	0	43	0	3402	2034	0	25	2	6	48	0	1,200000048	0	0	04C	21	16	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	
04004	Гигантский Гиперморф	-1	2	49	0	771000	2034	0	400	3	5	80	0	2	0	1	070	21	2064	0	2	00065	00066	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	686	
04005	Гигантский Гиперморф	-1	2	49	0	771000	2034	0	400	3	5	80	0	2	0	1	070	21	2064	0	2	00065	00066	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	686	
04006	Гигантский Гиперморф	-1	2	49	0	771000	2034	0	400	3	5	80	0	2	0	1	070	21	2064	0	2	00065	00066	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	686	
09704	Варасса	-1	2	55	0	858300	2034	0	25	4	6	80	0	2	0	1	0FA	21	6	0	3	00067	00068	00069	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	770	
09705	Варасса	-1	2	55	0	858300	2034	0	25	4	6	80	0	2	0	1	0FA	21	6	0	3	00067	00068	00069	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	770	
09706	Варасса	-1	2	55	0	858300	2034	0	25	4	6	80	0	2	0	1	0FA	21	6	0	3	00067	00068	00069	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	770	
0970C	Воительница Варассы	-1	0	50	0	3932	2034	0	25	4	6	40	0	1	0	0	0FA	21	6	0	0	00070	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
04713	Лазувардин	-1	0	21	0	1160	2034	0	43,75	2	3	40	0	1	0	0	076	4	256	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	21	
01B0B	Гигантский Раптор	-1	1	23	0	6300	2034	0	25	3	6	108	0	0,600000024	0	0	08F	21	256	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	46	
09A04	Мутти	2	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	11C	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09A05	Мутти	0	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	11C	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09A06	Мутти	1	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	11C	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09804	Матти	2	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FB	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09805	Матти	0	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FB	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09806	Матти	1	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FB	21	257	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09B04	Катти	2	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FC	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09B05	Катти	0	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FC	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09B06	Катти	1	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FC	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09904	Ватти	2	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FD	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09905	Ватти	0	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FD	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09906	Ватти	1	2	2	0	3100	2034	0	25	4	6	40	0	1	0	1	0FD	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
09F0C	Кутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	0FE	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09F0C	Кутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	0FE	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09F0C	Кутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	0FE	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09D0C	Патти	2	0	1	0	22	2034	0	25	2	6	9,600000381	0	0,059999999	0	0	0FF	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09D0C	Патти	2	0	1	0	22	2034	0	25	2	6	9,600000381	0	0,059999999	0	0	0FF	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09D0C	Патти	2	0	1	0	22	2034	0	25	2	6	9,600000381	0	0,059999999	0	0	0FF	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
0A00C	Нутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	100	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
0A00C	Нутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	100	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
0A00C	Нутти	2	0	1	0	22	2034	0	25	2	6	40	0	1	0	0	100	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09C0C	Тотти	2	0	1	0	22	2034	0	25	2	6	9,600000381	0	0,059999999	0	0	101	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
09C0C	Тотти	2	0	1	0	22	2034	0	25	2	6	9,600000381	0	0,059999999	0	0	101	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0	
