dword	text	END	
1289	Калиана Воительницу и Калиана Убийцу видели на Этере. Калиана - это женская раса. Все мужчины этой расы погибли, сражаясь против Акретии за независимость. Однако, раса Калиана обладает необыкновенными воинскими способностями. И то, что они - женщины, не мешает им яростно сражаться в бою. Вирус, находящийся внутри их тел, делает их очень опасными. Будь осторожен!		
1290	Появились секретные сведения, что Беллато и Кора обещали помочь Калиана в их борьбе против Империи. за свою независимость. И теперь, при встрече с Беллато или Кора, нам придется с ними драться. Необходимо уничтожить Калиана, пока Беллато или Кора не распространили свою власть на Новусе. Калиана обитают в Зачарованных Землях. Отправляйся туда и уничтожь Калиана-Лучницу.		
1291	Картела блокировала доступ к Этеру, из-за постоянных нападений Калиана. Этер - единственное место, откуда можно отправиться в космос. Теперь Новус оказался в изоляции. Если ситуация не изменится, мы не сможем получить помощь с Главной базы. Иди и уничтожь  Калиана Воительницу и принеси ожерелье Калиана.		
1292	Акреты выбрали самых сильных существ на Новусе и, заменив некоторые части тела на механизмы, превратили в совершенное оружие. Однако, Калиана украли это оружие, когда убегали от Империи. Теперь оно стоит на защите Калиана. Его называют - Имперский Разрушитель.		
1293	Очень давно, когда Альянс только начал освоение Отрогов Вулкана Котел на Новусе, не было достаточно средств и ресурсов. Однако, в последнее время, в экосистеме Вулкана Котел происходят активные изменения. Мы отправили ученых, для того, чтобы они исследовали этот феномен. Однако в Пещере Одиночества на них напала Магмовая Жаба. Отправляйся туда и уничтожь ее, а также, заверши начатое исследование. Как добраться до Вулкана Котел тебе подскажет гид, который находится на севере Плато Надир в Сетовой Пустыне. Так же тебе понадобится Черный Светящийся Камень.		
1294	Слуг Геродиан - Дроида и Мехозавра, видели в районе Вулкана. Эти два монстра обладают огромной силой и представляют большую опасность, чем другие монстры. Для того, чтобы продолжать безопасно проводить исследования, тебе необходимо уничтожить Дроида Воина и Мехозавра.		
1295	Считалось, что Вулкан Котел - потухший вулкан. Но внезапно он проснулся. Мы думали, что все живое вокруг погибло, но оказалось, что это не так. Тела организмов слились с лавой. Вулканический Скарабей - яркий тому пример. И это не смотря на то, что адаптироваться к окружающей среде не всегда удается. Отправляйся и поймай Вулканического Скарабея, для того, чтобы определить каким образом это произошло.		
1296	Существует мнение, после извержения вулкана, близлежащая территория сильно изменилась. Появились животные, которые до этого не встречались в природе. Одно из таких существ - Магмоид, рожденный из лавы. До сих пор мы не можем понять, как из лавы могла появиться жизнь. Нам необходимо провести исследование, чтобы определить причину возникновения жизни. Отправляйтесь на охоту за Болидом.		
1297	Арахниды всегда считались совершенно безопасными монстрами маленького размера. Однако в последнее время появилось большое количество мутированных видов Арахнидов - Бронированные Арахниды, которые начали нападать на людей. Изменение расы Арахнидов доказывает изменение экосистемы территории вулкана. Империя считает их потенциально опасными врагами, поэтому начала исследования. Но для исследования необходимы экспериментальные экземпляры.		
1298	К счастью нам удалось наладить связь. Я слышал, что вы отправились в район Вулкана Котел, для выполнения миссии Империи. Я нахожусь здесь уже давно, исследуя Вулкан Котел. Я прибыл на Вулкан Котел по заданию Империи и находился здесь во время извержения. Именно я сообщил об этом Империи. После извержения я пытался возобновить исследования, но мне это не удалось. Я не знаю чьи это постройки, похожие на замки. Но я собираюсь узнать. В районе замков появляются Мотыльки, которые затрудняют расследование. Я смогу начать исследование, если вы уничтожите Мотыльков. Сделаете это?		
1299	До извержения вулкана я установил там камеру. До того, как произошло извержение, что-то проникло в Зловещий Рог возле вулкана. Тот, кто вызвал взрыв вулкана, осмотрел вулкан и начал строить замки. Хозяин этих замков похож на того, кто упал в вулкан. Я все еще планирую исследовать Зловещий Рог, но Сверкающие Мотыльки, более опасные, чем Мотыльки они мешают моей миссии. Не могли бы вы рассказать о них более подробно.		
1300	Я узнал ужасную новость. Тот, кто упал в Вулкан оказался Бельфегором. Он - Геродианин. Как мне известно, Геродиане боятся Священного Метала и не могут попасть на Новус. До этого они только посылали своих слуг. Однако факт остается фактом - Бельфегор живет на Новусе. Я думаю Империя не могла предвидеть такого. Собрать информацию о Бельфегоре - значит доказать свою преданность. Единственная проблема - Гоблины. Как мне известно до извержения эти существа не встречались на территории Вулкана. Должно быть они были посланы Бельфегором, для того, чтобы терроризировать окрестности. Иди и уничтожь их. А я постараюсь провести исследование Бельфегора.		
1301	Стало известно, что мутация существ, обитающих в районе Вулкана Котел, произошла в результате заражения вирусом. Возможно первые инфицированные экземпляры появились после извержения вулкана. Хотя подтверждения этим фактам пока нет. Поймав Мотылька и Сверкающего Мотылька, которые обитают в районе вулкан, Империя смогла бы определить наличие вируса. Сделав это, мы смогли бы подтвердить факт присутствия Геродиана.		
1302	До сегодняшнего дня было известно, что мутация существ Новуса была вызвана вирусом. Сейчас стало известно, что вирус продлевает жизнь и полностью подавляет волю. Для того, чтобы подтвердить это, нам необходима затвердевшая жидкость Магмовой Жабы, которая имеет все симптомы заражения вирусом.		
1303	Вирус не только вызывает мутацию животных, но и изменяет окружающую среду. Говорят, что он способен наделить жизнью неодушевленные предметы, такие как лава или камни. Магмовый Убийца, который появляется в Пещере Абадон - яркий тому пример. Магмовый Убийца состоит из лавы и камней. Благодаря вирусу он стал живым монстром, поэтому его необходимо уничтожить.		
1304	Я - Чоб. Знаешь, почему я пришел? Не удивляйся. Я видел Геродиана Бельфегора. К сожалению у меня не много информации о нем. Он - изгнанник, и по видимому чем-то напуган, потому и начал строить крепости, чтобы спрятаться там. Еще одно! Бельфегор пытается взять под контроль существа, обитающие на вулкане. Я видел, как Орки Воины беспрекословно выполняют все его приказы. Для того, чтобы лучше узнать Бельфегора, необходимо исследовать Орков Воинов. Однако я один не смогу справиться с Орками Воинами. Ты мне поможешь?		
1305	Сохраняй спокойствие! Стало известно, что Орки и Гоблины не обитали на территории вулкана до его извержения. Когда-то они были представителями расы Кора и Беллато, и появились после извержения вместе и Бельфегором. Бельфегор вернул им жизнь и сделал монстрами, чья воля полностью в его руках. Гигантский Орк - самый большой и сильный монстр, которого создал Бельфегор. Мы сможем узнать в чем заключается сила вируса Бельфегора, как только исследуем Орков. Твоя помощь может быть полезной.		
1306	Это правда, что в отличии от вируса Геродиан вирус Бельфегора способен наделить жизненной силой неодушевленные предметы. Используя этот вирус можно изготовить оружие нового вида. Я в курсе, что использование вируса Геродиана - незаконно, но это только исследование, поэтому, думаю, ничего страшного. Думаю начать исследование с вулканических существ. Поймай для меня 10 Магмоидов и не говори об этом своему начальнику. Если мои исследования окажутся удачными, я и в предь буду вызывать вас для выполнения миссий.		
1307	Остались только Калианы, которые находились под властью Акретов. Не смирившиеся с бегством Калиан Акреты преследовали их и наконец настигли на Плато Элан. Нам известно, что Калианы скрываются на необитаемом Плато Элан. В скором времени, когда мы обоснуемся на Плато Элан мы используем электрическую энергию для поимки Калиан. Для этого необходим свиток перемещения на Элан, который можно достать на базе Картелы. Есть одна проблема - это Лавовые Арахниды, которые перекрывают вход на Плато Элан и атакуют представителей Империи. Для того, чтобы попасть на плато Элан, необходимо уничтожить Лавовых Арахнидов.		
1308	Элан представляет собой плато, поэтому вся экосистема сохранилась очень хорошо, не будучи подвержена факторам из вне. На плато обитают существа, не подверженные вирусу. Однако попытка представителей Империи окольцевать Птенца Псевдодракона повлекла за собой активную реакцию со стороны обитателей Плато Элан. Теперь стало очень трудно попасть на плато из-за постоянных атак со стороны обитателей. Необходимо уничтожить птенца Псевдодракона на Коралловом Острове.		
1309	Не смотря на то, что воины Империи помогали Калиане и выполняли ее поручения, она решила организовать террор против Империи. Это не только ударит по чести Империи, но и пошатнет базовые устои армии здесь, на Новусе. Из-за постоянных нападений на Этере, нам не удалось схватить их предводителя. Известно, что Калиана-Принцесса, которая возглавляет террор на Этере теперь находится в Зачарованных Землях. Куда бы ты ни отправился, уничтожь предводителя террористов.		
1310	Калианы сбежали от Империи и захватили с собой наше боевое оружие - Имперского Разрушителя. До сих пор никто не смог взять их под свой контроль, поэтому они бродят по Этеру сами по себе. Из-за трагических событий в Заставе-213 необходимо уничтожить их. Схватить их нелегко, не смотря на то, что тела их не защищены, они обладают оружием, изготовленным искусными акретами.		
1311	Держись подальше от Птенцов Псевдодракона. Драконы, чтобы защитить своих птенцов, атакуют Империю. Картела не может попасть в Элан из-за Птенцов Псевдодраконов. Отправляйся и уничтожь Драконов, очисти путь на Элан.		
1312	В последнее время популяция Драконов на Элане резко уменьшилась, причина тому - активное освоение территории. Многие из них мигрируют на новые мест обитания, но часть отправилась на территорию вулкана. Поселившись на территории вулкана, они вскоре заразились вирусом и начали мутировать, проявляя при этом большую агрессивность. Для того, чтобы различать их с неинфицированными Драконами, мы назвали их Красными Псевдодраконами.		
1313	Ренегаты снова атаковали нас! Это произошло на Плато Элан в Лесу Безмолвия. Из-за труднопроходимости мест, они смогли атаковать нас внезапно. Это те Ренегаты, за которыми мы наблюдали еще до того, как смогли отразить атаку Калиан в этой местности. Теперь пришло время расправиться с ними. Отправляйся и уничтожь Ренегата Дементера и Ренегата Ландскхнета. Во славу Империи!		
1314	Разведка показала, что Ренегаты находятся на Плато Элан. Они построили здесь базу до того, как началось освоение Элана. Говорят, что в последнее время они объединяются с другими расами и увеличивают свою армию. Для того чтобы сократить число ренегатов, отправляйся в Лес Безмолвия и на Коралловый Остров и уничтожь пойманных там Ренегата Защитника и Ренегата Хранителя, которые объеденились с Ренегатами Акретии .		
1315	Чешуйчатый Арахнид, обитающий в Тимерском Стебле на Элане, намного больше и сильнее обычных Арахнидов. Но он не похож на Бронированного Арахнида, чью силу породил вирус. Согласно отчету Исследовательского института, мутация Чешуйчатого Арахнида произошла под влиянием Священного Метала. Так как Арахниды долгое время обитали на Элане, возможно там есть залежи Священного Метала. Поймай Чешуйчатого Арахнида и мы сможем узнать больше.		
1316	Проведя разведку Элана, Империя обнаружила Древо Новуса в Великой Галерее. Результат исследования состава Древа Новуса показал, что в его состав входит Алтарь. Предположительно, что существо Новуса, называемое Большой Чешуйчатый Арахнид находится под влиянием Древа Новуса. Возникает вопрос - каким образом можно извлечь Алтарь из Древа? Определив, каким образом Чешуйчатый Арахнид получает Алтарь из Древа, мы сможем это определить. Для этого тебе необходимо отправиться в Тимерский Стебль и поймать Чешуйчатого Арахнида.		
1317	К сожалению, эксперименты по исследованию инфицированного оружия Геродиан закончилось неудачей. Причина тому - Варасса. Сначала все шло хорошо. Но затем возникли проблемы с управлением этого оружия. Бросив эксперименты, Варасса теперь находится в Долине Смерти возле Заставы-213. Если немедленно его не уничтожить, Империя будет в гневе. Отправляйся и уничтожь Варасса.		
1318	Сейчас половина территории Элана находится под контролем Ренегатов. Причина их активного распространения по территории - умелое использование преимуществ Элана и помощь, полученная от союзников. Говорят, что Калианы были союзниками Ренегатов до того, как покинули Элан. Необходимо проверить эту информацию. Отправляйся в Лес Безмолвия и добудь у Ренегата Фантома, Ренегата Пастыря и Ренегата Ракетчика свидетельства союза Калиан с Ренегатами. Пришло время Империи взять их под контроль.		
1319	На Новусе существует союз торговцев, называемый Карабан. Так же как и Картела, Карабан сохраняет нейтралитет, но является ее злейшим врагом. Империя связана торговыми отношениями с Картелой, и никогда не имела дела с Карабанами. Однако стало известно, что в Странной Роще было замечено, как Ренегат Каратель заключал сделку с торговцем Карабана. Необходимо поймать Ренегата Карателя и докопаться до истины.		
1320	Стало известно, что причиной мутации существ, обитающих на Вулкане Котел стал вирус Геродиана Бельфегора. После того, как Бельфегор попал на Вулкан Котел, он решил взять под контроль эту территорию и распространил вирус. Этот смертоносный вирус намного опаснее всех известных вирусов, и по своей разрушительной мощи выходит за грани разумного. Кроме того, каждый кто попал под его вляние, становится его рабом навсегда. К счастью, Бельфегор, попав на Новус стал жертвой Священного Метала, и силы начали покидать его. Вот самый удобный случай нанести удар. Уничтожив Бельфегора мы сможем остановить распространение вируса.		
1321	Альбариум запросил испытательный экземпляр для поддержания разработки основной комплектации роботов следующего поколения. Конечно, я порекомендовал тебя. Сила, преданность, и способность находить выход из любой ситуации делают тебя лучшим,  на так ли? Задание простое. Ты должен убить сильнейших воинов Новуса одного за другим и доказать, что ты - лучший из лучших. Начни с Этера. Уничтожь 50 Калиан Лучниц. 		
1322	Итак, на Этере все повержены. Хорошо. Иди в локацию Вулкана Котел. Твое задание - уничтожение самых сильных мутантов - 30 Гигантских Орков и 30 Предводителей Гоблинов. Удачи!		
1323	Некоторые солдаты предатели сбежали на Элан. Мы не можем прощать предателей и отступников! Отправляйся на Элан и убей 10 Предателей Шпионов и 10 Предателей Берсерков		
1324	Как всегда - отличная работа. Однако, это всего лишь небольшое испытание для преданного бойца Империи! Следующее задание - захват Элана! Так начнем же его! Поймай Разрушителя, Темного Жреца и Чудотворца, чтобы доказать свою силу		
1325	Ты хорошо со всем справляешься. Молодец! Следующая задача - охота на диких существ Новуса. Захвати 5 Черных Жаб и 5 Больших Шипоголовов . Потом у тебя будет возможность поохотиться на Красных Саблезубов.		
1326	Да ты просто зверюга! Продолжай в том же духе! Поймай Красного Саблезуба!		
1327	Это последнее задание. Уничтожь Драгоценный Куб, который тщательно охраняется коренными жителями Новуса и возьми у них три печати. Если ты выполнишь задание чисто, мы признаем тебя лучшим воином Новуса. Исследовательский институт приготовил 'Гибридную Вирусную Капсулу', при помощи которой ты можешь использовать силу без ограничений. Также ты получишь бесценный опыт. Помни, что твоя победа - это победа Империи!		
1328	Картела утверждает, что штаб ренегатов находится на Этере. Калиана и ренегаты объединили свои силы, поэтому мы вынуждены взять ситуацию под свой контроль. Штаб ренегатов находится в заброшенной лаборатории Картелы в Ставке Джека на Этере. Смертоносный Коготь и Бродячий Мутант блокировали вход в лабораторию. Отправляйся в туда и уничтожь их.		
1329	Теперь, когда мы уничтожили Бродячих Мутантов и Смертельный Коготь, мы можем захватить лабораторию Картелы. Осталось уничтожить Короля Бродячих Мутантов, чтобы завладеть лабораторией. Отправляйся и уничтожь 15 Королей Бродячих Мутантов возле входа в лабораторию.		
1330	Для того, чтобы завладеть лабораторией Картелы и продолжить исследования, Империи необходимо завладеть главной базой Ренегатов. Согласно полученной информации, союзниками Ренегатов, которые захватили и удерживают лабораторию является организация Черный Знак. Для того, чтобы занять лабораторию Картелы, необходимо завладеть Контрольным Переговорным Пунктом. Уничтожьте Смертоносного Жнеца и Младшего Жнеца, которые стоят на пути к Контрольному Переговорному Пункту.		
1331	Сейчас идет битва между тремя кланами, за владение новыми землями. Однако очень важно добыть новые ресурсы. Я слышал о новых землях, которые ведут в Вулкан Котел. Отправляйся и исследуй эти земли. Если встретишь Боевого Зверя, уничтожь его. 		
1332	Мы назвали тех, кто исследует Гору Чудовищ, охотниками на монстров. Если отправишься на север, попадешь в Лес Охотников. Свое название местность получила в память об охотнике, который погиб в схватке с монстром. Твоя миссия заключается в том, чтобы завершить исследование. Отправляйся в Отдаленный Мрачный Лес и поймай Дракона.		
1333	Первый исследователь, который прошел через Лес Охотников, попал в Отдаленный Мрачный Лес. Это место окутано тьмой. Ты поймешь, что это не простое место, как только увидишь кто его охраняет. Мы собираемся провести исследования. Твоя миссия - уничтожить Кровавых Рапторов, которые обитают там..		
1334	Необходимо выполнить еще одну миссию в Отдаленном Мрачном Лесу на Горе Чудовищ. Уничтожь Полосатого Богомола. Эти существа полагают, что мы варварски вторглись на их территорию, и при появлении врага издают убийственный крик. В это трудно поверить, но воины не могут войти туда, услышав его крик. Отправляйся и уничтожь Полосатого Богомола.		
1335	Гора Монстров - это не совсем дикое место. Мне кажется, что кто-то контролирует монстров, живущих там. Особый интерес представляют Саблезубы Матриархи. Нам необходимо поймать Саблезуба Матриарха и определить, действительно ли они были выведены искусственным путем. Отправляйся и поймай Саблезуба Матриарха и принеси ожерелье, которое он носит.		
1336	Мы изучили ожерелье, которое было на Саблезубе Матриархе. Нам удалось обнаружить старинные письмена, смысл которых непонятен. Я слышал, что Красные Саблезубы носят такое же ожерелье. Отправляйся и поймай 10 Красных Саблезубов, надеюсь они помогут нам пролить свет на это дело..		
1337	Отправляйся за Гору Чудовищ к Туманному Озеру, там ты сможешь найти место, называемое Дорога Древних. Охраняют ее Гремл Патрульный и Кукра Патрульный. Они защищают эту территорию от незваных гостей. Отправляйся и уничтожь Гремла Патрульного и Кукра Патрульного и освободи путь.		
1338	Следуя по Дороге Древних можно обнаружить новые неизведанные земли. Без сомнения, так когда-то обитали жители Новуса. Однако обитатели Новуса, которые живут там сейчас, отличаются от других жителей Новуса. Они строят базу и ведут активную военную подготовку. Мы должны узнать причину их действий. Поймай 5 Шипоголовов Гремлов Скаутов, которые находятся на аванпосте и в лагере Гремлов.		
1339	Жители Новуса, которые теперь обитают в Земле Бродяг, вынуждены были покинуть свою территорию и поселиться там. Сейчас они объединились тремя кланами в Союз и представляют большую опасность. Если пройдешь Грот Близнецов, сможешь найти Культистов в Крепости Нарум. У меня появились сомнения, а не являются ли наши враги представители расы Акретов? Поймай 5 Культистов Нарумов Скаутов, чтобы узнать это.		
1340	Вероятность, что враги ,обитающие в Земле Бродяг, могут оказаться Геродианами, велика. До этого Геродианам не удавалось попасть на Новус, из-за эффекта Священного Метала, но некоторые утверждают, что они могут находиться там. Мы должны определить, что так притягивает Геродиан на территорию Новуса. Отправляйся в Крепость Кукра и уничтожь Змееголова Кукра Гладиатора, который охраняет вход в крепость.		
1341	"Главнокомандующий приказал щедро вознаградить того, кто выполнит это задание. То, что ты получаешь это задание уже само по себе свидетельствует о том, что ты - лучший воин Федерации, тебе следует гордиться собой и быть уверенным в своих силах. У Федерации на Новусе две задачи. Во-первых, произвести военную оккупацию Новуса; во-вторых, добывать рудные ресурсы для армии, чтобы использовать их как источник силы в борьбе с другими расами. Генеральные штабы и Управление по администрированию ресурсами всегда надеются получить качественные ресурсы. Но, как ты знаешь, сложившаяся ситуация не очень перспективна."		
1342	Ситуация с добычей руды остается критической из-за войны между Федерацией, Империей и Альянсом. Положение усложняется появлением странного существа, обитающего в Краговых Шахтах. Монстр под названием Хранитель Священного Метала чрезвычайно опасен. Его высота достигает примерно 30-40 метров, а его покровы неразрушимы ни одним из доступных видов оружия. Мы многое перепробовали, чтобы нейтрализовать защитные свойства шкуры Хранителя, но ничего не помогает. Так как Альянс и Империя тоже ведут горные работы, стараясь не наткнуться на Хранителя Священного Метала, в Краговых шахтах часто происходят стычки. После серьезных потерь Генеральные штабы разработали план, который позволил бы управлять Хранителем Священного Метала, что проще, чем уничтожить его. Согласно исследованиям, есть возможность управлять Хранителем Священного Метала при помощи двух устройств, зарытых в районе Краговых Шахт.		
1343	"Между Хранителем Алтаря и контролирующим устройством существует определенная взаимосвязь. Необходимо по крайней мере два типа чипов, чтобы удержать Хранителя Алтаря от нападения. У Федерации на данный момент имеется большое количество альфа чипов. С остальными чипами возникают большие проблемы. Все контролирующие устройства, в которых находятся чипы, расположены в Краговых Шахтах; туда даже приблизиться тяжело, не то чтобы завладеть устройством. Ко всему прочему, чипы можно увидеть только когда Хранителя Алтаря нет поблизости. Из-за этого странного феномена Управление по распоряжению ресурсами предположило, что существует некая взаимосвязь между Хранителем Алтаря и контролирующим устройством. Нам необходимо завладеть чипом, который сделает Хранителя Алтаря менее агрессивным. Тебе надо знать еще кое о чем. Чипы сделают Хранителя Алтаря дружелюбным только на некоторое время. Это означает, что мы сможем добывать руду только до тех пор, пока контролирующее утройство не будет разрушено. Поэтому ты должен защищать контролирующее устройство от врага, чтобы увеличить время добычи руды."		
1344	Захват чипов и оборона контрольных терминалов - чрезвычайно трудные задания. Однако, выполнить их необходимо. Добыча руды - цель нашего пребывания на Новусе. Управление по распоряжению ресурсами также считает, что возможность контролировать Хранителя Алтаря позволит использовать его в борьбе против вражеских рас! Теперь ты должен отправиться в Шахты и сделать все чтобы защитить наш контрольный терминал. В то же время ты должен будешь найти возможность пробраться в зону терминала контролируемого противником и выкрасть второй чип. По завершении задания, ты получишь дополнительные указания.		
1345	"Задание, о котором я сейчас буду говорить с тобой, совершенно секретно. Пароль доступа к материалам по нему – 'духовное освобождение'; номер папки - 2034-99. Верховные офицеры армии Альянса и Генерального штаба очень обеспокоены ситуацией с добычей минеральных ресурсов на Новусе. Ты должен знать, что Алтарь является основным источником энергии для современных цивилизаций, и в случае с Альянсом обеспечивает до 90% национального валового энергетического продукта. Однако добыча Алтаря на Новусе это большая проблема. Мало того, что постоянный конфликт с Беллато и Акретианскими псевдороботами мешает продуктивной работе, существует даже более страшная опасность. Тебе приходилось слышать о Хранителе Алтаря? Это гигантский монстр, охраняющий Шахты! Все предыдущие попытки наших отрядов устранить Хранителя не привели ни к чему, кроме смерти выдающихся бойцов нашей армии, прими Дайсем их души."		
1346	Однако, я не совсем права, смерти отважных сынов Дайсема не были напрасны. Осознание невозможности уничтожить чудовище привело Мудрецов к новому откровению. Была обнаружена возможность использовать артефакты, найденные в Краговых Шахтах, чтобы установить контроль над Хранителем!		
1347	Отношения между Хранителем Алтаря и контролирующей расой похожи на отношения между матерью и ее детьми. Находясь под контролем устройства, Хранитель Алтаря будет считать, что мы принадлежим одному с ним виду. Так как эта связь является гомологической, контроль над Хранителем Алтаря будет ослабевать вместе с тем, как устройство будет выходить из строя. Таким образом, время, в течение которого мы сможем добывать руду напрямую зависит от причиненных контролирующему устройству повреждений. Пока Хранителя Алтаря не будет рядом, сохрани наше контролирующее устройство и завладей контролирующим чипом врага. Ты должен обеспечить беспрепятственную добычу. Яви Дайсему свою силу!		
