clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	byte	byte	byte	byte	float	dword	bttype	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	dword	effbttype	dword	END
ibfir22	Цинк Сланцевых Магазинов	A20379	22	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	121	1	0	0	-1	2	0	0	0	1	500	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir23	Цинк Разрывных Магазинов	A2037A	23	11111	11	0	0	2500	0	0	0	0	125	1	1	1	1	122	1	0	0	-1	0	0	0	0	1	500	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir24	Блок Ядерных Ракет	42037B	24	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	123	1	0	0	-1	0	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir25	Блок Магнитных Ракет	42037C	25	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	124	1	0	0	-1	3	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir26	Блок Гибридных Ракет	42037D	26	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	125	1	0	0	-1	0	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir27	Блок Токсичных Ракет	42037E	27	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	126	1	0	0	-1	2	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir28	Блок Ураганных Ракет	42037F	28	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	127	1	0	0	-1	1	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir29	Блок Световых Ракет	420380	29	00001	11	0	0	10000	0	0	0	0	500	1	1	1	1	128	1	0	0	-1	0	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir30	Блок Самонаводящихся Ракет	420381	30	00001	11	0	0	10000	0	0	0	0	500	1	1	1	1	129	1	0	0	-1	0	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir31	Баллон Жидкого Топлива	420382	31	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	130	1	0	0	-1	0	0	0	0	1,25	500	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir32	Блок Керамитовых Ракет	420383	32	00001	11	0	0	10000	0	0	0	0	500	1	1	1	1	131	1	0	0	-1	-1	0	0	0	1,25	500	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir33	Ящик Магазинов	A20384	17	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	132	1	0	0	-1	-1	0	0	0	1	30000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir34	Ящик Циклонных Магазинов	A20385	18	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	133	1	0	0	-1	3	0	0	0	1	30000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir35	Насыщенный Энергомагазин	A20386	19	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	134	1	0	0	-1	-1	0	0	0	1,25	30000	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir36	Насыщенный Лазерный Магазин	A20387	20	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	135	1	0	0	-1	-1	0	0	0	1	30000	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir37	Ящик Ленточных Магазинов	A20388	21	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	136	1	0	0	-1	-1	0	0	0	1	30000	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir38	Ящик Сланцевых Магазинов	A20389	22	11111	11	0	0	103175	0	0	0	0	5158	1	1	1	0	137	1	0	1	-1	2	0	0	0	1	30000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir39	Ящик Разрывных Магазинов	A2038A	23	11111	11	0	0	103175	0	0	0	0	5158	1	1	1	0	138	1	0	0	-1	0	0	0	0	1	30000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir40	Контейнер Ядерных Ракет	42038B	24	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	139	1	0	0	-1	0	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir41	Контейнер Магнитных Ракет	42038C	25	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	140	1	0	0	-1	3	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir42	Контейнер Гибридных Ракет	42038D	26	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	141	1	0	0	-1	0	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir43	Контейнер Токсичных Ракет	42038E	27	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	142	1	0	0	-1	2	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir44	Контейнер Ураганных Ракет	42038F	28	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	143	1	0	0	-1	1	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir45	Контейнер Световых Ракет	420390	29	00001	11	0	0	138095	0	0	0	0	6904	1	1	1	0	144	1	0	0	-1	0	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir46	Контейнер Самонаводящихся Ракет	420391	30	00001	11	0	0	138095	0	0	0	0	6904	1	1	1	0	145	1	0	0	-1	0	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir47	Танк Жидкого Топлива	420392	31	00001	11	0	0	145238	0	0	0	0	7261	1	1	1	0	146	1	0	0	-1	0	0	0	0	1,25	30000	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir48	Контейнер Керамитовых Ракет	420393	32	00001	11	0	0	138095	0	0	0	0	6904	1	1	1	0	147	1	0	0	-1	-1	0	0	0	1,25	30000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir49	Снаряд	A20394	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	148	1	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir50	Снаряд	A20395	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	149	1	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir51	Кислотная Граната	420396	33	00001	11	0	0	400	0	0	0	0	20	1	1	1	1	150	1	0	0	-1	-1	0	0	0	1	100	LMNO	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
ibfir52	Вакуумная Граната	420397	34	00001	11	0	0	400	0	0	0	0	20	1	1	1	1	151	1	0	0	-1	-1	0	0	0	1	100	LMNO	0	0	0	0	0	0	0	0	0	0	0	2	0	-1	0	
ibfir53	Дымовая Граната	420398	35	00001	11	0	0	400	0	0	0	0	20	1	1	1	1	152	1	0	0	-1	-1	0	0	0	1	100	LMNO	0	0	0	0	0	0	0	0	0	0	0	3	0	-1	0	
ibfir54	Шоковая Граната	420399	36	00001	11	0	0	400	0	0	0	0	20	1	1	1	1	153	1	0	0	-1	-1	0	0	0	1	100	LMNO	0	0	0	0	0	0	0	0	0	0	0	4	0	-1	0	
ibfir55	Ментальная Граната	42039A	37	00001	11	0	0	1000	0	0	0	0	50	1	1	1	1	154	1	0	0	-1	-1	0	0	0	1	100	MNO	0	0	0	0	0	0	0	0	0	0	0	5	0	-1	0	
ibfir56	Оглушающая Граната	42039B	38	00001	11	0	0	1000	0	0	0	0	50	1	1	1	1	155	1	0	0	-1	-1	0	0	0	1	100	MNO	0	0	0	0	0	0	0	0	0	0	0	6	0	-1	0	
ibfir57	Разъедающая Граната	42039C	39	00001	11	0	0	1000	0	0	0	0	50	1	1	1	1	156	1	0	0	-1	-1	0	0	0	1	100	MNO	0	0	0	0	0	0	0	0	0	0	0	7	0	-1	0	
ibfir58	Ослабляющая Граната	42039D	40	00001	11	0	0	1000	0	0	0	0	50	1	1	1	1	157	1	0	0	-1	-1	0	0	0	1	100	MNO	0	0	0	0	0	0	0	0	0	0	0	8	0	-1	0	
ibfir59	Паралитическая Граната	42039E	41	00001	11	0	0	3000	0	0	0	0	150	1	1	1	1	158	1	0	0	-1	-1	0	0	0	1	100	NO	0	0	0	0	0	0	0	0	0	0	0	9	0	-1	0	
ibfir60	Стихийная Граната	42039F	42	00001	11	0	0	3000	0	0	0	0	150	1	1	1	1	159	1	0	0	-1	-1	0	0	0	1	100	NO	0	0	0	0	0	0	0	0	0	0	0	A	0	-1	0	
ibfir61	Антимагическая Граната	4203A0	43	00001	11	0	0	3000	0	0	0	0	150	1	1	1	1	160	1	0	0	-1	-1	0	0	0	1	100	NO	0	0	0	0	0	0	0	0	0	0	0	B	0	-1	0	
ibfir62	Волновая Граната	4203A1	44	00001	11	0	0	3000	0	0	0	0	150	1	1	1	1	161	1	0	0	-1	-1	0	0	0	1	100	NO	0	0	0	0	0	0	0	0	0	0	0	C	0	-1	0	
ibfir63	Ослепляющая Граната	4203A2	45	00001	11	0	0	5000	0	0	0	0	250	1	1	1	1	162	1	0	0	-1	-1	0	0	0	1	100	O	0	0	0	0	0	0	0	0	0	0	0	D	0	-1	0	
ibfir64	Паутинная Граната	4203A3	46	00001	11	0	0	5000	0	0	0	0	250	1	1	1	1	163	1	0	0	-1	-1	0	0	0	1	100	O	0	0	0	0	0	0	0	0	0	0	0	E	0	-1	0	
ibfir65	Вирусная Граната	4203A4	47	00001	11	0	0	5000	0	0	0	0	250	1	1	1	1	164	1	0	0	-1	-1	0	0	0	1	100	O	0	0	0	0	0	0	0	0	0	0	0	F	0	-1	0	
ibfir66	Псионическая Граната	4203A5	48	00001	11	0	0	5000	0	0	0	0	250	1	1	1	1	165	1	0	0	-1	-1	0	0	0	1	100	O	0	0	0	0	0	0	0	0	0	0	0	10	0	-1	0	
ibfir67	Коробчатый Магазин	A203A6	49	11111	11	0	0	500	0	0	0	0	25	1	1	1	1	166	1	0	0	-1	-1	0	0	0	1,149999976	100	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir68	Цинк Коробчатых Магазинов	A203A7	49	11111	11	0	0	2500	0	0	0	0	125	1	1	1	1	167	1	0	0	-1	-1	0	0	0	1,149999976	500	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir69	Ледяное Топливо	4203A8	50	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	168	1	0	0	-1	1	0	0	0	1,25	100	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir70	Баллон Ледяного Топлива	4203A9	50	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	169	1	0	0	-1	1	0	0	0	1,25	500	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir71	Танк Ледяного Топлива	4203AA	50	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	170	1	0	0	-1	1	0	0	0	1,25	30000	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir72	Сланцевое Топливо	4203AB	51	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	171	1	0	0	-1	2	0	0	0	1,25	100	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir73	Баллон Сланцевого Топлива	4203AC	51	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	172	1	0	0	-1	2	0	0	0	1,25	500	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir74	Танк Сланцевого Топлива	4203AD	51	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	173	1	0	0	-1	2	0	0	0	1,25	30000	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir75	Летучее Топливо	4203AE	52	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	174	1	0	0	-1	3	0	0	0	1,25	100	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir76	Баллон Летучего Топлива	4203AF	52	00001	11	0	0	12500	0	0	0	0	625	1	1	1	1	175	1	0	0	-1	3	0	0	0	1,25	500	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir77	Танк Летучего Топлива	4203B0	52	00001	11	0	0	150000	0	0	0	0	7499	1	1	1	0	176	1	0	0	-1	3	0	0	0	1,25	30000	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir78	Фрионный Магазин	A203B1	53	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	177	1	0	0	-1	1	0	0	0	1	100	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir79	Цинк Фрионных Магазинов	A203B2	53	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	178	1	0	0	-1	1	0	0	0	1	500	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir80	Ящик Фрионных Магазинов	A203B3	53	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	179	1	0	0	-1	1	0	0	0	1	30000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir81	Очищающая Граната	A203B3	54	00001	11	0	0	800	0	0	0	0	40	1	1	1	1	180	1	0	0	-1	-1	0	0	0	1	100	LMNO	0	0	0	0	0	0	0	0	0	0	0	13	0	-1	0	
ibfir82	Восстанавливающая Граната	A203B3	55	00001	11	0	0	5000	0	0	0	0	250	1	1	1	1	181	1	0	0	-1	-1	0	0	0	1	100	MNO	0	0	0	0	0	0	0	0	0	0	0	14	0	-1	0	
ibfir83	Снаряд	A203B6	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	182	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir84	Снаряд	A203B7	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	183	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir85	Снаряд	A203B8	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	184	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir86	Снаряд	A203B9	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	185	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir87	Снаряд	A203BA	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	186	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir88	Снаряд	A203BB	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	187	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir89	Снаряд	A203BC	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	188	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir90	Снаряд	A203BD	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	189	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir91	Снаряд	A203BE	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	190	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir92	Снаряд	A203BF	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	191	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir93	Снаряд	A203C0	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	192	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir94	Снаряд	A203C1	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	193	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir95	Снаряд	A203C2	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	194	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir96	Снаряд	A203C3	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	195	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir97	Снаряд	A203C4	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	196	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir98	Снаряд	A203C5	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	197	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir99	Снаряд	A203C6	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	198	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir00	Магазин Новичка	A20364	17	11111	11	0	0	10	0	0	0	0	0	0	1	0	0	199	0	0	0	-1	-1	0	0	0	1	500	EFGH	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibxxx00	Тренировочный Боеприпас	A20364	17	11111	11	0	0	10	0	0	0	0	0	0	1	0	0	200	0	0	0	-1	-1	0	0	0	1	1	EFGH	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibxxx01	Тренировочный Боеприпас	A20364	17	11111	11	0	0	10	0	0	0	0	0	0	1	0	0	201	1	0	0	-1	-1	0	0	0	1	30000	EFGH	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibxxx02	Тренировочные Стрелы	A20400	1	11111	11	0	0	10	0	0	0	0	0	0	1	0	0	202	0	0	0	-1	-1	0	0	0	1	1	ABCD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibxxx03	Тренировочные Стрелы	A20400	1	11111	11	0	0	10	0	0	0	0	0	0	1	0	0	203	1	0	0	-1	-1	0	0	0	1	30000	ABCD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr01	Стрела	A204CC	1	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	204	1	0	0	-1	-1	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr02	Огненная Стрела	A204CD	2	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	205	1	0	0	-1	0	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr03	Ледяная Стрела	A204CE	3	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	206	1	0	0	-1	1	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr04	Отравленная Стрела	A204CF	4	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	207	1	0	0	-1	2	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr05	Искусственная Стрела	A204D0	6	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	208	1	0	0	-1	3	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr06	Разрывная Стрела	A204D1	7	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	209	1	0	0	-1	0	0	0	0	1	3000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr07	Болт	A204D2	8	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	210	1	0	0	-1	-1	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr08	Огненный Болт	A204D3	9	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	211	1	0	0	-1	0	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr09	Ледяной Болт	A204D4	10	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	212	1	0	0	-1	1	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr10	Отравленный Болт	A204D5	11	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	213	1	0	0	-1	2	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr11	Искусственный Болт	A204D6	13	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	214	1	0	0	-1	3	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr12	Разрывной Болт	A204D7	14	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	215	1	0	0	-1	0	0	0	0	1	3000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr13	Энергетический Элемент	A204D8	15	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	216	1	0	0	-1	-1	0	0	0	1	3000	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr14	Усовершенствованный Энергетический Элемент	A204D9	16	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	217	1	0	0	-1	-1	0	0	0	1,25	3000	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr15	Боеприпас	A203DA	17	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	218	1	0	0	-1	-1	0	0	0	1	3000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr16	Искусственный Боеприпас	A203DB	18	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	219	1	0	0	-1	3	0	0	0	1	3000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr17	Энергетический Боеприпас	A203DC	19	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	220	1	0	0	-1	-1	0	0	0	1,25	3000	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr18	Лазерный Боеприпас	A203DD	20	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	221	1	0	0	-1	-1	0	0	0	1	3000	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr19	Боеприпас Вулкана	A203DE	21	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	222	1	0	0	-1	-1	0	0	0	1	3000	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr20	Отравляющий Боеприпас	A203EF	22	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	223	1	0	0	-1	2	0	0	0	1	3000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr21	Разрывной Боеприпас	A203E0	23	11111	11	0	0	100	0	0	0	0	100	1	1	1	1	224	1	0	0	-1	0	0	0	0	1	3000	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr22	Ядерная Ракета	4203E1	24	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	225	1	0	0	-1	0	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr23	Магнитная Ракета	4203E2	25	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	226	1	0	0	-1	3	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr24	Гибридная Ракета	4203E3	26	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	227	1	0	0	-1	0	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr25	Токсичная Ракета	4203E4	27	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	228	1	0	0	-1	2	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr26	Ураганная Ракета	4203E5	28	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	229	1	0	0	-1	1	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr27	Световая Ракета	4203E6	29	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	230	1	0	0	-1	0	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr28	Самонаводящаяся Ракета	4203E7	30	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	231	1	0	0	-1	0	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr29	Прожигающее Жидкое Топливо	4203E8	31	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	232	1	0	0	-1	0	0	0	0	1,25	3000	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr30	Ракета с Керамитовым Наконечником	4203E9	32	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	233	1	0	0	-1	-1	0	0	0	1,25	3000	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibdbr31	Кислотная Граната	4203EA	33	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	234	1	0	0	-1	-1	0	0	0	1	3000	LMNO	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
ibdbr32	Вакуумная Граната	4203EB	34	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	235	1	0	0	-1	-1	0	0	0	1	3000	LMNO	0	0	0	0	0	0	0	0	0	0	0	2	0	-1	0	
ibdbr33	Дымовая Граната	4203EC	35	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	236	1	0	0	-1	-1	0	0	0	1	3000	LMNO	0	0	0	0	0	0	0	0	0	0	0	3	0	-1	0	
ibdbr34	Шоковая Граната	4203ED	36	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	237	1	0	0	-1	-1	0	0	0	1	3000	LMNO	0	0	0	0	0	0	0	0	0	0	0	4	0	-1	0	
ibdbr35	Ментальный Шип	4203EE	37	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	238	1	0	0	-1	-1	0	0	0	1	3000	MNO	0	0	0	0	0	0	0	0	0	0	0	5	0	-1	0	
ibdbr36	Оглушающая Граната	4203EF	38	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	239	1	0	0	-1	-1	0	0	0	1	3000	MNO	0	0	0	0	0	0	0	0	0	0	0	6	0	-1	0	
ibdbr37	Кислотный Дождь	4203F0	39	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	240	1	0	0	-1	-1	0	0	0	1	3000	MNO	0	0	0	0	0	0	0	0	0	0	0	7	0	-1	0	
ibdbr38	Ослабляющий Силу	4203F1	40	00001	11	0	0	100	0	0	0	0	100	1	1	1	1	241	1	0	0	-1	-1	0	0	0	1	3000	MNO	0	0	0	0	0	0	0	0	0	0	0	8	0	-1	0	
