string[64]	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	END
bxbig00	ignwq50	1	340	ignwr50	1	340	ignws50	1	340	ignwt50	1	340	ignwu50	1	340	ignwv50	1	340	ignww50	1	340	ignwx50	1	340	ignwy50	1	340	ignwz50	1	340	ignrq50	1	330	ignrr50	1	330	ignrs50	1	330	ignrt50	1	330	ignru50	1	330	ignrv50	1	330	ignrw50	1	330	ignrx50	1	330	ignry50	1	330	ignrz50	1	330	ignfq50	1	330	ignfr50	1	330	ignfs50	1	330	ignft50	1	330	ignfu50	1	330	ignfv50	1	330	ignfw50	1	330	ignfx50	1	330	ignfy50	1	330	ignfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcig00	igtwq50	1	340	igtwr50	1	340	igtws50	1	340	igtwt50	1	340	igtwu50	1	340	igtwv50	1	340	igtww50	1	340	igtwx50	1	340	igtwy50	1	340	igtwz50	1	340	igtrq50	1	330	igtrr50	1	330	igtrs50	1	330	igtrt50	1	330	igtru50	1	330	igtrv50	1	330	igtrw50	1	330	igtrx50	1	330	igtry50	1	330	igtrz50	1	330	igtfq50	1	330	igtfr50	1	330	igtfs50	1	330	igtft50	1	330	igtfu50	1	330	igtfv50	1	330	igtfw50	1	330	igtfx50	1	330	igtfy50	1	330	igtfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxaig00	ighwq50	1	340	ighwr50	1	340	ighws50	1	340	ighwt50	1	340	ighwu50	1	340	ighwv50	1	340	ighww50	1	340	ighwx50	1	340	ighwy50	1	340	ighwz50	1	340	ighrq50	1	330	ighrr50	1	330	ighrs50	1	330	ighrt50	1	330	ighru50	1	330	ighrv50	1	330	ighrw50	1	330	ighrx50	1	330	ighry50	1	330	ighrz50	1	330	ighfq50	1	330	ighfr50	1	330	ighfs50	1	330	ighft50	1	330	ighfu50	1	330	ighfv50	1	330	ighfw50	1	330	ighfx50	1	330	ighfy50	1	330	ighfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbis00	isnwq50	1	340	isnwr50	1	340	isnws50	1	340	isnwt50	1	340	isnwu50	1	340	isnwv50	1	340	isnww50	1	340	isnwx50	1	340	isnwy50	1	340	isnwz50	1	340	isnrq50	1	330	isnrr50	1	330	isnrs50	1	330	isnrt50	1	330	isnru50	1	330	isnrv50	1	330	isnrw50	1	330	isnrx50	1	330	isnry50	1	330	isnrz50	1	330	isnfq50	1	330	isnfr50	1	330	isnfs50	1	330	isnft50	1	330	isnfu50	1	330	isnfv50	1	330	isnfw50	1	330	isnfx50	1	330	isnfy50	1	330	isnfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcis00	istwq50	1	340	istwr50	1	340	istws50	1	340	istwt50	1	340	istwu50	1	340	istwv50	1	340	istww50	1	340	istwx50	1	340	istwy50	1	340	istwz50	1	340	istrq50	1	330	istrr50	1	330	istrs50	1	330	istrt50	1	330	istru50	1	330	istrv50	1	330	istrw50	1	330	istrx50	1	330	istry50	1	330	istrz50	1	330	istfq50	1	330	istfr50	1	330	istfs50	1	330	istft50	1	330	istfu50	1	330	istfv50	1	330	istfw50	1	330	istfx50	1	330	istfy50	1	330	istfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxais00	ishwq50	1	340	ishwr50	1	340	ishws50	1	340	ishwt50	1	340	ishwu50	1	340	ishwv50	1	340	ishww50	1	340	ishwx50	1	340	ishwy50	1	340	ishwz50	1	340	ishrq50	1	330	ishrr50	1	330	ishrs50	1	330	ishrt50	1	330	ishru50	1	330	ishrv50	1	330	ishrw50	1	330	ishrx50	1	330	ishry50	1	330	ishrz50	1	330	ishfq50	1	330	ishfr50	1	330	ishfs50	1	330	ishft50	1	330	ishfu50	1	330	ishfv50	1	330	ishfw50	1	330	ishfx50	1	330	ishfy50	1	330	ishfz50	1	330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbud01	iybud04	1	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal01	irtal06	1	1928	rebbb03	1	1928	rebbb04	1	1928	rebbb05	1	1928	rebbb06	1	1928	isbwc50	1	40	isbrc50	1	40	isbfc50	1	40	iscwc50	1	40	iscrc50	1	40	iscfc50	1	40	isawc50	1	40	isarc50	1	40	isafc50	1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal02	irtal06	3	1840	rebbb03	1	1840	rebbb04	1	1840	rebbb05	1	1840	rebbb06	1	1840	ihbwc50	1	40	ihbrc50	1	40	ihbfc50	1	40	ihcwc50	1	40	ihcrc50	1	40	ihcfc50	1	40	ihawc50	1	40	iharc50	1	40	ihafc50	1	40	iubwc50	1	40	iubrc50	1	40	iubfc50	1	40	iucwc50	1	40	iucrc50	1	40	iucfc50	1	40	iuawc50	1	40	iuarc50	1	40	iuafc50	1	40	ilbwc50	1	40	ilbrc50	1	40	ilbfc50	1	40	ilcwc50	1	40	ilcrc50	1	40	ilcfc50	1	40	ilawc50	1	40	ilarc50	1	40	ilafc50	1	40	igbwc50	1	40	igbrc50	1	40	igbfc50	1	40	igcwc50	1	40	igcrc50	1	40	igcfc50	1	40	igawc50	1	40	igarc50	1	40	igafc50	1	40	isbwc50	1	40	isbrc50	1	40	isbfc50	1	40	iscwc50	1	40	iscrc50	1	40	iscfc50	1	40	isawc50	1	40	isarc50	1	40	isafc50	1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal03	irtal01	1	1112	rebbb03	1	1111	rebbb04	1	1111	rebbb05	1	1111	rebbb06	1	1111	bxleo01	1	1111	bxleo02	1	1111	bxleo03	1	1111	bxleo04	1	1111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal04	irtal01	3	1000	rebbb03	1	1000	rebbb04	1	1000	rebbb05	1	1000	rebbb06	1	1000	bxleo01	1	1000	bxleo02	1	1000	bxleo03	1	1000	bxleo04	1	998	iwswd45	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc50	isbwz51	1	500	ihbwq51	1	500	igbwq51	1	500	igbwy51	1	500	igbwz51	1	500	isbwq51	1	500	isbwy51	1	400	ihbwy51	1	300	ihbwz51	1	300	iubwq51	1	300	ilbwq51	1	300	ilbwy51	1	300	ilbwz51	1	300	isbwv51	1	300	iubwt51	1	200	iubwy51	1	200	iubwz51	1	200	ilbwt51	1	200	ilbwx51	1	200	ihbwt51	1	200	igbwt51	1	200	igbwv51	1	200	igbwx51	1	200	isbwr51	1	100	isbwt51	1	100	isbwx51	1	100	ihbwv51	1	100	ihbwx51	1	100	ihbwr51	1	100	ihbws51	1	100	ihbwu51	1	100	ihbww51	1	100	iubwr51	1	100	iubws51	1	100	ilbwr51	1	100	ilbws51	1	100	igbwr51	1	100	igbws51	1	100	igbwu51	1	100	igbww51	1	100	isbws51	1	100	isbwu51	1	100	isbww51	1	100	iubwu51	1	100	iubwv51	1	100	iubww51	1	100	iubwx51	1	100	ilbwu51	1	100	ilbwv51	1	100	ilbww51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc50	isbrz51	1	500	ihbrq51	1	400	igbrq51	1	400	igbry51	1	400	igbrz51	1	400	isbrq51	1	400	isbry51	1	400	ihbry51	1	300	ihbrz51	1	300	iubrq51	1	300	ilbrq51	1	300	ilbry51	1	300	ilbrz51	1	300	isbrv51	1	300	iubrt51	1	200	iubry51	1	200	iubrz51	1	200	ilbrt51	1	200	ilbrx51	1	200	ihbrt51	1	200	igbrt51	1	200	igbrv51	1	200	igbrx51	1	200	isbrr51	1	200	isbrt51	1	200	isbrx51	1	200	ihbrv51	1	200	ihbrx51	1	200	ihbrr51	1	100	ihbrs51	1	100	ihbru51	1	100	ihbrw51	1	100	iubrr51	1	100	iubrs51	1	100	ilbrr51	1	100	ilbrs51	1	100	igbrr51	1	100	igbrs51	1	100	igbru51	1	100	igbrw51	1	100	isbrs51	1	100	isbru51	1	100	isbrw51	1	100	iubru51	1	100	iubrv51	1	100	iubrw51	1	100	iubrx51	1	100	ilbru51	1	100	ilbrv51	1	100	ilbrw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc50	isbfz51	1	500	ihbfq51	1	400	igbfq51	1	400	igbfy51	1	400	igbfz51	1	400	isbfq51	1	400	isbfy51	1	400	ihbfy51	1	300	ihbfz51	1	300	iubfq51	1	300	ilbfq51	1	300	ilbfy51	1	300	ilbfz51	1	300	isbfv51	1	300	iubft51	1	200	iubfy51	1	200	iubfz51	1	200	ilbft51	1	200	ilbfx51	1	200	ihbft51	1	200	igbft51	1	200	igbfv51	1	200	igbfx51	1	200	isbfr51	1	200	isbft51	1	200	isbfx51	1	200	ihbfv51	1	200	ihbfx51	1	200	ihbfr51	1	100	ihbfs51	1	100	ihbfu51	1	100	ihbfw51	1	100	iubfr51	1	100	iubfs51	1	100	ilbfr51	1	100	ilbfs51	1	100	igbfr51	1	100	igbfs51	1	100	igbfu51	1	100	igbfw51	1	100	isbfs51	1	100	isbfu51	1	100	isbfw51	1	100	iubfu51	1	100	iubfv51	1	100	iubfw51	1	100	iubfx51	1	100	ilbfu51	1	100	ilbfv51	1	100	ilbfw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc50	iscwz51	1	500	ihcwq51	1	500	igcwq51	1	500	igcwy51	1	500	igcwz51	1	500	iscwq51	1	500	iscwy51	1	400	ihcwy51	1	300	ihcwz51	1	300	iucwq51	1	300	ilcwq51	1	300	ilcwy51	1	300	ilcwz51	1	300	iscwv51	1	300	iucwt51	1	200	iucwy51	1	200	iucwz51	1	200	ilcwt51	1	200	ilcwx51	1	200	ihcwt51	1	200	igcwt51	1	200	igcwv51	1	200	igcwx51	1	200	iscwr51	1	100	iscwt51	1	100	iscwx51	1	100	ihcwv51	1	100	ihcwx51	1	100	ihcwr51	1	100	ihcws51	1	100	ihcwu51	1	100	ihcww51	1	100	iucwr51	1	100	iucws51	1	100	ilcwr51	1	100	ilcws51	1	100	igcwr51	1	100	igcws51	1	100	igcwu51	1	100	igcww51	1	100	iscws51	1	100	iscwu51	1	100	iscww51	1	100	iucwu51	1	100	iucwv51	1	100	iucww51	1	100	iucwx51	1	100	ilcwu51	1	100	ilcwv51	1	100	ilcww51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc50	iscrz51	1	500	ihcrq51	1	400	igcrq51	1	400	igcry51	1	400	igcrz51	1	400	iscrq51	1	400	iscry51	1	400	ihcry51	1	300	ihcrz51	1	300	iucrq51	1	300	ilcrq51	1	300	ilcry51	1	300	ilcrz51	1	300	iscrv51	1	300	iucrt51	1	200	iucry51	1	200	iucrz51	1	200	ilcrt51	1	200	ilcrx51	1	200	ihcrt51	1	200	igcrt51	1	200	igcrv51	1	200	igcrx51	1	200	iscrr51	1	200	iscrt51	1	200	iscrx51	1	200	ihcrv51	1	200	ihcrx51	1	200	ihcrr51	1	100	ihcrs51	1	100	ihcru51	1	100	ihcrw51	1	100	iucrr51	1	100	iucrs51	1	100	ilcrr51	1	100	ilcrs51	1	100	igcrr51	1	100	igcrs51	1	100	igcru51	1	100	igcrw51	1	100	iscrs51	1	100	iscru51	1	100	iscrw51	1	100	iucru51	1	100	iucrv51	1	100	iucrw51	1	100	iucrx51	1	100	ilcru51	1	100	ilcrv51	1	100	ilcrw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc50	iscfz51	1	500	ihcfq51	1	400	igcfq51	1	400	igcfy51	1	400	igcfz51	1	400	iscfq51	1	400	iscfy51	1	400	ihcfy51	1	300	ihcfz51	1	300	iucfq51	1	300	ilcfq51	1	300	ilcfy51	1	300	ilcfz51	1	300	iscfv51	1	300	iucft51	1	200	iucfy51	1	200	iucfz51	1	200	ilcft51	1	200	ilcfx51	1	200	ihcft51	1	200	igcft51	1	200	igcfv51	1	200	igcfx51	1	200	iscfr51	1	200	iscft51	1	200	iscfx51	1	200	ihcfv51	1	200	ihcfx51	1	200	ihcfr51	1	100	ihcfs51	1	100	ihcfu51	1	100	ihcfw51	1	100	iucfr51	1	100	iucfs51	1	100	ilcfr51	1	100	ilcfs51	1	100	igcfr51	1	100	igcfs51	1	100	igcfu51	1	100	igcfw51	1	100	iscfs51	1	100	iscfu51	1	100	iscfw51	1	100	iucfu51	1	100	iucfv51	1	100	iucfw51	1	100	iucfx51	1	100	ilcfu51	1	100	ilcfv51	1	100	ilcfw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc50	isawz51	1	500	ihawq51	1	500	igawq51	1	500	igawy51	1	500	igawz51	1	500	isawq51	1	500	isawy51	1	400	ihawy51	1	300	ihawz51	1	300	iuawq51	1	300	ilawq51	1	300	ilawy51	1	300	ilawz51	1	300	isawv51	1	300	iuawt51	1	200	iuawy51	1	200	iuawz51	1	200	ilawt51	1	200	ilawx51	1	200	ihawt51	1	200	igawt51	1	200	igawv51	1	200	igawx51	1	200	isawr51	1	100	isawt51	1	100	isawx51	1	100	ihawv51	1	100	ihawx51	1	100	ihawr51	1	100	ihaws51	1	100	ihawu51	1	100	ihaww51	1	100	iuawr51	1	100	iuaws51	1	100	ilawr51	1	100	ilaws51	1	100	igawr51	1	100	igaws51	1	100	igawu51	1	100	igaww51	1	100	isaws51	1	100	isawu51	1	100	isaww51	1	100	iuawu51	1	100	iuawv51	1	100	iuaww51	1	100	iuawx51	1	100	ilawu51	1	100	ilawv51	1	100	ilaww51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc50	isarz51	1	500	iharq51	1	400	igarq51	1	400	igary51	1	400	igarz51	1	400	isarq51	1	400	isary51	1	400	ihary51	1	300	iharz51	1	300	iuarq51	1	300	ilarq51	1	300	ilary51	1	300	ilarz51	1	300	isarv51	1	300	iuart51	1	200	iuary51	1	200	iuarz51	1	200	ilart51	1	200	ilarx51	1	200	ihart51	1	200	igart51	1	200	igarv51	1	200	igarx51	1	200	isarr51	1	200	isart51	1	200	isarx51	1	200	iharv51	1	200	iharx51	1	200	iharr51	1	100	ihars51	1	100	iharu51	1	100	iharw51	1	100	iuarr51	1	100	iuars51	1	100	ilarr51	1	100	ilars51	1	100	igarr51	1	100	igars51	1	100	igaru51	1	100	igarw51	1	100	isars51	1	100	isaru51	1	100	isarw51	1	100	iuaru51	1	100	iuarv51	1	100	iuarw51	1	100	iuarx51	1	100	ilaru51	1	100	ilarv51	1	100	ilarw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc50	isafz51	1	500	ihafq51	1	400	igafq51	1	400	igafy51	1	400	igafz51	1	400	isafq51	1	400	isafy51	1	400	ihafy51	1	300	ihafz51	1	300	iuafq51	1	300	ilafq51	1	300	ilafy51	1	300	ilafz51	1	300	isafv51	1	300	iuaft51	1	200	iuafy51	1	200	iuafz51	1	200	ilaft51	1	200	ilafx51	1	200	ihaft51	1	200	igaft51	1	200	igafv51	1	200	igafx51	1	200	isafr51	1	200	isaft51	1	200	isafx51	1	200	ihafv51	1	200	ihafx51	1	200	ihafr51	1	100	ihafs51	1	100	ihafu51	1	100	ihafw51	1	100	iuafr51	1	100	iuafs51	1	100	ilafr51	1	100	ilafs51	1	100	igafr51	1	100	igafs51	1	100	igafu51	1	100	igafw51	1	100	isafs51	1	100	isafu51	1	100	isafw51	1	100	iuafu51	1	100	iuafv51	1	100	iuafw51	1	100	iuafx51	1	100	ilafu51	1	100	ilafv51	1	100	ilafw51	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc53	igbwb53	1	1600	isbwb53	1	1600	ilbwb53	1	1400	ihbwb53	1	1400	iubwb53	1	1000	isbwz54	1	150	ihbwq54	1	120	igbwq54	1	120	igbwy54	1	120	igbwz54	1	120	isbwq54	1	120	isbwy54	1	120	ihbwy54	1	90	ihbwz54	1	90	iubwq54	1	90	ilbwq54	1	90	ilbwy54	1	90	ilbwz54	1	90	isbwv54	1	90	iubwt54	1	60	iubwy54	1	60	iubwz54	1	60	ilbwt54	1	60	ilbwx54	1	60	igbwt54	1	60	igbwv54	1	60	igbwx54	1	60	isbwr54	1	60	isbwt54	1	60	isbwx54	1	60	ihbwt54	1	60	ihbwv54	1	60	ihbwx54	1	60	ihbwr54	1	30	ihbws54	1	30	ihbwu54	1	30	ihbww54	1	30	iubwr54	1	30	iubws54	1	30	iubwu54	1	30	iubwv54	1	30	iubww54	1	30	iubwx54	1	30	ilbwr54	1	30	ilbws54	1	30	ilbwu54	1	30	ilbwv54	1	30	ilbww54	1	30	igbwr54	1	30	igbws54	1	30	igbwu54	1	30	igbww54	1	30	isbws54	1	30	isbwu54	1	30	isbww54	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc53	igbrb53	1	1600	isbrb53	1	1600	ilbrb53	1	1400	ihbrb53	1	1400	iubrb53	1	1000	isbrz54	1	150	ihbrq54	1	120	igbrq54	1	120	igbry54	1	120	igbrz54	1	120	isbrq54	1	120	isbry54	1	120	ihbry54	1	90	ihbrz54	1	90	iubrq54	1	90	ilbrq54	1	90	ilbry54	1	90	ilbrz54	1	90	isbrv54	1	90	iubrt54	1	60	iubry54	1	60	iubrz54	1	60	ilbrt54	1	60	ilbrx54	1	60	igbrt54	1	60	igbrv54	1	60	igbrx54	1	60	isbrr54	1	60	isbrt54	1	60	isbrx54	1	60	ihbrt54	1	60	ihbrv54	1	60	ihbrx54	1	60	ihbrr54	1	30	ihbrs54	1	30	ihbru54	1	30	ihbrw54	1	30	iubrr54	1	30	iubrs54	1	30	iubru54	1	30	iubrv54	1	30	iubrw54	1	30	iubrx54	1	30	ilbrr54	1	30	ilbrs54	1	30	ilbru54	1	30	ilbrv54	1	30	ilbrw54	1	30	igbrr54	1	30	igbrs54	1	30	igbru54	1	30	igbrw54	1	30	isbrs54	1	30	isbru54	1	30	isbrw54	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
